time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
14,166,1000.0,114688,-92.48304858000002,687,-0.11611184602807043,0.6608012318611145,-0.17936742305755615,-6.117027930542827,130,0.6510498046875,0.5177753,0.32574786615368245,0.000521211910130166,0.7194398641586304,0.014846003513594042,,
15,174,1000.0,122880,-49.58200395,704,-0.11358695639573853,0.6335486173629761,-0.14782430231571198,-5.880851692333818,140,0.6696044921875,0.5849469,0.32574786615368245,0.000521211910130166,0.728943943977356,0.010647498851903947,,
16,182,1000.0,131072,1.2620583000000034,719,-0.10191205238843395,0.607073962688446,-0.14691294729709625,-5.629623561352491,150,0.6676513671875,0.6104797,0.32574786615368245,0.000521211910130166,0.8134754747152328,0.013403999487491092,,
17,189,1000.0,139264,47.338996779999995,733,-0.10086109349504113,0.5851449966430664,-0.17817842960357666,-5.387850865721703,160,0.68221435546875,0.65787655,0.32574786615368245,0.000521211910130166,0.7581285387277603,0.008131187460094225,,
18,197,1000.0,147456,90.43998146999998,745,-0.10026233088174194,0.5644092559814453,-0.13667193055152893,-5.160689057409764,170,0.68841552734375,0.7363241,0.32574786615368245,0.000521211910130166,0.8413773626089096,0.009719100451548002,,
19,205,1000.0,155648,139.66625636,756,-0.0954978176720033,0.5350854396820068,-0.18396955728530884,-4.883506172895432,180,0.69730224609375,0.72543013,0.32574786615368245,0.000521211910130166,0.8770952969789505,0.00990533737494843,,
20,213,1000.0,163840,189.29800365,766,-0.0914461837048293,0.5170460343360901,-0.11391235142946243,-4.642678527161479,190,0.7031005859375,0.7309747,0.32574786615368245,0.000521211910130166,0.7639195621013641,0.0068705960675288225,,
21,221,1000.0,172032,264.29404005,776,-0.08831980555478366,0.49552634358406067,-0.1406671553850174,-4.3971626974642275,200,0.716845703125,0.792426,0.32574786615368245,0.000521211910130166,0.747144341468811,0.006153357592847897,,
22,229,1000.0,180224,310.13542769,784,-0.08457356633971358,0.4771198332309723,-0.15380799770355225,-4.1499444004148245,210,0.715869140625,0.87363225,0.32574786615368245,0.000521211910130166,0.8231650590896606,0.005201566321011342,,
23,237,1000.0,188416,357.36511571999995,793,-0.08617424967269471,0.460536390542984,-0.11640781909227371,-3.9361497603356836,220,0.73145751953125,0.9338782,0.32574786615368245,0.000521211910130166,0.8582223653793335,0.005562015576651902,,
24,245,1000.0,196608,400.91899375,800,-0.07616980972343299,0.445614218711853,-0.14001931250095367,-3.740355005674064,230,0.73935546875,0.9292475,0.32574786615368245,0.000521211910130166,0.8704349994659424,0.004952900408716232,,
,,,200000,,,-0.07619411810319435,0.4289367198944092,-0.12549281120300293,-3.501950385607779,240,0.73638916015625,1.001139,0.32574786615368245,0.000521211910130166,0.8904399648308754,0.004603300765302265,1000.0,108.40592980000001
25,257,1000.0,204800,445.93358048000005,795,,,,,,,,,,,,,
26,265,1000.0,212992,490.23699147,802,-0.07003663653231343,0.4162319004535675,-0.13297654688358307,-3.304864040762186,250,0.7512451171875,1.007807,0.32574786615368245,0.000521211910130166,0.8679084628820419,0.004693454096377536,,
27,274,1000.0,221184,536.30512125,807,-0.06594680979360419,0.40548110008239746,-0.18978862464427948,-3.124418564513326,260,0.752685546875,0.9924693,0.32574786615368245,0.000521211910130166,0.8770389780402184,0.004894881419022568,,
28,282,1000.0,229376,576.806004,812,-0.061032028696718046,0.3956136405467987,-0.1626220941543579,-2.968102447874844,270,0.75672607421875,1.1797519,0.32574786615368245,0.000521211910130166,0.8007354438304901,0.004365509405943158,,
29,290,1000.0,237568,617.7454058800001,817,-0.05482814497299841,0.3845709264278412,-0.10629414767026901,-2.83107516746968,280,0.7623291015625,1.0832634,0.32574786615368245,0.000521211910130166,0.8379048854112625,0.004137118381004256,,
30,303,1000.0,245760,663.89544101,810,-0.05252414501956082,0.3728362023830414,-0.12610965967178345,-2.6578678583726285,290,0.77198486328125,1.2337456,0.32574786615368245,0.000521211910130166,0.7925625145435333,0.0033520578354000463,,
31,317,1000.0,253952,702.5744432800001,800,-0.04567654082056834,0.3629118502140045,-0.17514152824878693,-2.458418927527964,300,0.76873779296875,1.180656,0.32574786615368245,0.000521211910130166,0.8592961728572845,0.0032690984324290186,,
32,331,1000.0,262144,736.2669885,791,-0.047171580297435865,0.3538604974746704,-0.11421778798103333,-2.3141794301569463,310,0.7680419921875,1.1625676,0.32574786615368245,0.000521211910130166,0.8569242209196091,0.0029892093786656913,,
33,345,1000.0,270336,768.59266699,782,-0.04236018040246563,0.3441380560398102,-0.06247486546635628,-2.1623724810779095,320,0.76827392578125,1.1190532,0.32574786615368245,0.000521211910130166,0.9091202914714813,0.002961586103629088,,
34,359,1000.0,278528,803.4623326800001,775,-0.03724333021345956,0.3382934629917145,-0.12452825903892517,-2.0325804674066603,330,0.775244140625,1.2150376,0.32574786615368245,0.000521211910130166,0.8917149975895882,0.00259700699507448,,
35,373,1000.0,286720,838.10931156,767,-0.03921857124423696,0.3322172462940216,-0.09897332638502121,-1.9668693997897209,340,0.77542724609375,1.1542083,0.32574786615368245,0.000521211910130166,0.8647741824388504,0.0025671533502645617,,
36,387,1000.0,294912,861.9457040999997,761,-0.051012375591744784,0.3236839771270752,-0.1441107839345932,-1.8083053339272737,350,0.77960205078125,1.3191991,0.32574786615368245,0.000521211910130166,0.9494433514773846,0.002668799318962556,,
37,401,1000.0,303104,889.12214955,754,-0.0418727327749366,0.3170178234577179,-0.1393803209066391,-1.6637458548881114,360,0.77978515625,1.3187314,0.32574786615368245,0.000521211910130166,0.9298659116029739,0.0027429811567344585,,
38,415,1000.0,311296,909.6626129600002,749,-0.029481769061385422,0.3122524321079254,-0.1396031677722931,-1.564521072525531,370,0.78260498046875,1.2975563,0.32574786615368245,0.000521211910130166,0.8933573737740517,0.0027730937888918563,,
39,429,1000.0,319488,936.66046307,743,-0.022509778163657755,0.3068438470363617,-0.10600843280553818,-1.4695546333678067,380,0.782763671875,1.1956215,0.32574786615368245,0.000521211910130166,0.8702908605337143,0.0024244995635854137,,
40,443,1000.0,327680,956.8340634599999,739,-0.020655616042495238,0.30433911085128784,-0.17092683911323547,-1.4247874228283763,390,0.80263671875,1.392895,0.32574786615368245,0.000521211910130166,0.8612809330224991,0.0024566877165852928,,
41,457,1000.0,335872,976.9024334499998,734,0.021122139560611687,0.3002917170524597,-0.09211649745702744,-1.3344089841470121,400,0.78636474609375,1.3003724,0.32574786615368245,0.000521211910130166,0.8947210609912872,0.0022689522054406552,,
42,471,1000.0,344064,1005.6262181599997,729,-0.006881982392224017,0.29599669575691223,-0.008391320705413818,-1.2494722853414715,410,0.7926513671875,1.188669,0.32574786615368245,0.000521211910130166,0.897973820567131,0.002026725245923444,,
43,485,1000.0,352256,1023.6983147999999,725,-0.02628670726899145,0.2896898090839386,-0.07239080965518951,-1.1434442470781505,420,0.7873779296875,1.2855217,0.32574786615368245,0.000521211910130166,0.9271565526723862,0.0022529825716446792,,
44,499,1000.0,360448,1043.05679729,722,-0.019788102780512417,0.2850194275379181,-0.09862521290779114,-1.0417842882219701,430,0.79776611328125,1.3320668,0.32574786615368245,0.000521211910130166,0.880311518907547,0.002018255894199683,,
45,512,1000.0,368640,1061.73491808,718,-0.007844864771504945,0.28111717104911804,-0.09599654376506805,-0.9461873470339924,440,0.79630126953125,1.1802785,0.32574786615368245,0.000521211910130166,0.8884372189640999,0.0018082098673403379,,
46,527,1000.0,376832,1074.43706495,715,-0.012917778550945513,0.27676019072532654,-0.10471691191196442,-0.862893003365025,450,0.788623046875,1.2374208,0.32574786615368245,0.000521211910130166,0.9028789103031158,0.002070408735062301,,
47,540,1000.0,385024,1090.84517763,711,-0.011837396464579797,0.27577394247055054,-0.012128968723118305,-0.8241745029110461,460,0.79256591796875,1.2864738,0.32574786615368245,0.000521211910130166,0.8575330674648285,0.0019301850290048606,,
48,555,1000.0,393216,1113.23218341,708,-0.014736326127604116,0.2705974876880646,-0.0730530396103859,-0.7386976241134107,470,0.79063720703125,1.2846181,0.32574786615368245,0.000521211910130166,0.903784342110157,0.0017404208148946055,,
,,,400000,,,-0.00955000812318758,0.2676432430744171,-0.08524413406848907,-0.6626090366393328,480,0.78865966796875,1.1314775,0.32574786615368245,0.000521211910130166,0.8746650815010071,0.0019836362918340456,1000.0,-247.0435746
49,576,1000.0,401408,1130.81681167,695,,,,,,,,,,,,,
50,590,1000.0,409600,1148.13395389,693,-0.007910198585523175,0.2652108073234558,-0.09466651827096939,-0.6072561551816762,490,0.7876708984375,1.187482,0.32574786615368245,0.000521211910130166,0.892909474670887,0.001856891068700861,,
51,604,1000.0,417792,1133.0337371,690,-0.02367214501782655,0.25951606035232544,-0.11812855303287506,-0.4915359646547586,500,0.77274169921875,1.2356074,0.32574786615368245,0.000521211910130166,0.9408787190914154,0.0018488186728518486,,
52,618,1000.0,425984,1138.50063193,688,-0.06724750917346682,0.24959702789783478,-0.18083883821964264,-0.22632315987721086,510,0.81019287109375,4.4035525,0.32574786615368245,0.000521211910130166,0.978422163054347,0.002400595909693948,,
53,632,1000.0,434176,1152.69101485,686,0.006707564695534529,0.2489774227142334,-0.001532472320832312,-0.24552553184330464,520,0.80137939453125,1.4070411,0.32574786615368245,0.000521211910130166,0.9303544834256172,0.001678648646156944,,
54,646,1000.0,442368,1163.4055423799998,684,-0.003362080676743062,0.2441577911376953,-0.09769055247306824,-0.12926108138635756,530,0.797021484375,1.4334295,0.32574786615368245,0.000521211910130166,0.9256904572248459,0.0017680732778899255,,
55,655,1000.0,450560,1179.37243148,686,0.005542789196988451,0.2411089688539505,-0.029739689081907272,-0.0433259048499167,540,0.796875,1.3164041,0.32574786615368245,0.000521211910130166,0.9277109056711197,0.001996004776583504,,
56,670,1000.0,458752,1191.8125681299998,684,0.00809665523156582,0.2396010160446167,-0.06976014375686646,0.015968913771212102,550,0.8138916015625,1.5418221,0.32574786615368245,0.000521211910130166,0.913283571600914,0.0013652982309849903,,
57,684,1000.0,466944,1200.55176065,682,0.010465400267275982,0.23663069307804108,-0.07927577942609787,0.06869041919708252,560,0.79559326171875,1.4248128,0.32574786615368245,0.000521211910130166,0.9574107713997364,0.0013745453563615228,,
58,698,1000.0,475136,1214.59921307,680,0.016774875529699786,0.23425669968128204,-0.04345708712935448,0.14481585090979934,570,0.80621337890625,1.4579809,0.32574786615368245,0.000521211910130166,0.9542417116463184,0.0014404515253772844,,
59,707,1000.0,483328,1220.44775409,682,0.025458671301385037,0.23298925161361694,-0.058217305690050125,0.161751092877239,580,0.81807861328125,1.4506137,0.32574786615368245,0.000521211910130166,0.9553342163562775,0.001578129418703611,,
60,716,1000.0,491520,1232.6404832,685,0.01629881263925199,0.23363804817199707,-0.10168500989675522,0.16469961889088153,590,0.8111083984375,1.9266133,0.32574786615368245,0.000521211910130166,0.9187052100896835,0.0012654243028237034,,
61,724,1000.0,499712,1240.3964018900003,689,0.031359518365570695,0.2340880185365677,-0.051631756126880646,0.15468989163637162,600,0.82733154296875,1.4583817,0.32574786615368245,0.000521211910130166,0.9172941222786903,0.0015453011923682424,,
62,732,1000.0,507904,1245.0553489099998,693,0.007450573234564217,0.23264086246490479,-0.025103859603405,0.18137564212083818,610,0.8072998046875,1.536959,0.32574786615368245,0.000521211910130166,0.9211190715432167,0.001318162839515935,,
63,740,1000.0,516096,1289.4136351,697,0.006303143632430874,0.22924989461898804,-0.0813424289226532,0.25034514246508477,620,0.7817626953125,1.1735499,0.32574786615368245,0.000521211910130166,0.945147443562746,0.0013004621509708158,,
64,747,1000.0,524288,1305.23352495,701,0.013702477466358687,0.22843800485134125,-0.16871176660060883,0.2734460030682385,630,0.811376953125,1.3692749,0.32574786615368245,0.000521211910130166,0.909668542444706,0.0011754127693848204,,
65,755,1000.0,532480,1315.16152493,704,-0.0019041055686102482,0.22600723803043365,-0.0875951498746872,0.3358024318702519,640,0.78721923828125,1.2615407,0.32574786615368245,0.000521211910130166,0.9403851069509983,0.001077990115868488,,
66,763,1000.0,540672,1322.8733744,707,0.007278299501740549,0.2261856645345688,-0.14417405426502228,0.35631505846977235,650,0.7943359375,1.4605758,0.32574786615368245,0.000521211910130166,0.8655475378036499,0.0010664452677929149,,
67,775,1000.0,548864,1328.16925617,707,-0.002380880073906155,0.22753369808197021,-0.004920014645904303,0.3517052434384823,660,0.794677734375,1.1972821,0.32574786615368245,0.000521211910130166,0.8823183551430702,0.0010745465738864369,,
68,790,1000.0,557056,1334.77916848,705,0.001746661722427234,0.2250565141439438,-0.031605444848537445,0.36121971788816154,670,0.78857421875,1.1589112,0.32574786615368245,0.000521211910130166,0.877465732395649,0.001016646228231366,,
69,804,1000.0,565248,1345.73552984,702,-0.004455191997476504,0.222294881939888,-0.09678836911916733,0.4511913643218577,680,0.7764892578125,1.1530628,0.32574786615368245,0.000521211910130166,0.9259825795888901,0.0009549201184427148,,
70,818,1000.0,573440,1353.7791530499996,700,0.005415399656885711,0.22121109068393707,-0.09602528810501099,0.4767666852567345,690,0.7897216796875,1.0687017,0.32574786615368245,0.000521211910130166,0.88884037733078,0.0008452008287349599,,
71,831,1000.0,581632,1365.4884469600004,699,0.009352446699085703,0.21944595873355865,-0.019775956869125366,0.5268598627764731,700,0.79576416015625,1.2354999,0.32574786615368245,0.000521211910130166,0.899196594953537,0.000894049252019613,,
72,845,1000.0,589824,1370.0931910200002,697,0.02631338988576317,0.21514774858951569,-0.05619114264845848,0.5988903779536485,710,0.8183349609375,1.7893745,0.32574786615368245,0.000521211910130166,0.9119415879249573,0.0010039310757292697,,
73,859,1000.0,598016,1372.0149069099998,695,-0.017509967036676243,0.21138276159763336,-0.0575326532125473,0.7334596330765635,720,0.769091796875,1.6218973,0.32574786615368245,0.000521211910130166,0.9622554443776608,0.001075014023467702,,
,,,600000,,,-0.025260189170876402,0.20710371434688568,-0.0756818875670433,0.8635933230165392,730,0.76903076171875,1.9405217,0.32574786615368245,0.000521211910130166,0.9706655293703079,0.0011128157089160596,1000.0,264.4468704
74,879,1000.0,606208,1371.6738440899999,689,,,,,,,,,,,,,
75,893,1000.0,614400,1377.7276378499998,687,0.026293752446144937,0.20638012886047363,-0.022692939266562462,0.9220469531603157,740,0.812548828125,1.3629006,0.32574786615368245,0.000521211910130166,0.9478504173457623,0.0010502415527298581,,
76,907,1000.0,622592,1386.51262109,686,0.020911593603159417,0.20622815191745758,-0.06197713688015938,0.9060905938968062,750,0.8150390625,1.4682571,0.32574786615368245,0.000521211910130166,0.9260793179273605,0.001093277197378484,,
77,921,1000.0,630784,1392.84609644,684,0.03349136471242673,0.2044190764427185,-0.038550157099962234,0.9120431224349886,760,0.81005859375,1.2960193,0.32574786615368245,0.000521211910130166,0.9240949302911758,0.0010159341327607764,,
78,935,1000.0,638976,1401.2763485899998,683,0.024852657585506678,0.20493708550930023,0.013835768215358257,0.9535509743727744,770,0.81192626953125,1.532121,0.32574786615368245,0.000521211910130166,0.8914576470851898,0.0009550119308414651,,
79,949,1000.0,647168,1409.4064520600002,681,0.01355179662532464,0.2042362093925476,-0.046449773013591766,0.9776436902582646,780,0.79864501953125,1.2421591,0.32574786615368245,0.000521211910130166,0.9017804563045502,0.000953585256866063,,
80,962,1000.0,655360,1417.00524344,680,0.024232367749209515,0.20475633442401886,-0.04683507978916168,0.9461513551417738,790,0.79752197265625,1.2327459,0.32574786615368245,0.000521211910130166,0.9062825590372086,0.0009015192283641227,,
81,976,1000.0,663552,1422.5574270099999,679,0.03256326070404612,0.20548272132873535,0.002648104913532734,0.9502743863034994,800,0.80606689453125,1.2272007,0.32574786615368245,0.000521211910130166,0.8994447812438011,0.0008741315212773771,,
82,990,1000.0,671744,1424.9745018299998,678,0.02318449171980319,0.20589207112789154,-0.012980055995285511,0.9117115505505353,810,0.79400634765625,1.2121612,0.32574786615368245,0.000521211910130166,0.8905417248606682,0.0010470257965835116,,
